INOCTETS,OUTOCTETS,INERRORS
1787560200:,-nan,-nan
1787562000:,-nan,-nan
1787563800:,-nan,-nan
1787565600:,-nan,-nan
1787567400:,-nan,-nan
1787569200:,-nan,-nan
1787571000:,-nan,-nan
1787572800:,-nan,-nan
1787574600:,-nan,-nan
1787576400:,-nan,-nan
1787578200:,-nan,-nan
1787580000:,-nan,-nan
1787581800:,-nan,-nan
1787583600:,-nan,-nan
1787585400:,-nan,-nan
1787587200:,-nan,-nan
1787589000:,-nan,-nan
1787590800:,-nan,-nan
1787592600:,-nan,-nan
1787594400:,-nan,-nan
1787596200:,-nan,-nan
1787598000:,-nan,-nan
1787599800:,-nan,-nan
1787601600:,-nan,-nan
1787603400:,-nan,-nan
1787605200:,-nan,-nan
1787607000:,-nan,-nan
1787608800:,-nan,-nan
1787610600:,-nan,-nan
1787612400:,-nan,-nan
1787614200:,-nan,-nan
1787616000:,-nan,-nan
1787617800:,-nan,-nan
1787619600:,-nan,-nan
1787621400:,-nan,-nan
1787623200:,-nan,-nan
1787625000:,-nan,-nan
1787626800:,-nan,-nan
1787628600:,-nan,-nan
